Version,Date,Init,Description
1.11,9/14/2010,sgl,"* Changed the category for Jabber IM Client from ""F"" to G""
* Changed the product category for vSphere Client from ""F"" to ""G""
* Changed the category for VMWare ESX/ESXi from ""F"" to G""
* Changed the category for VMWARE vSphere CLI tools for node shutdown from ""F"" to G"""
1.12,9/14/2010,sgl,"* Added a QTY of 2 of MS SQL Server for NHSM, SHSM, XHSM - for NOSC-D and NOSC-B
"
1.13,9/15/2010,sgl,"* Changed product category JGN entry for Email and Websecurity (vmware) : from ""F"" to ""V""
* POP - Increased QTY from 3 to 4 for McAfee Host Intrusion Prevention (Windows)
* STT - Removed McAfee entries, GDSATCOM provided laptop, we don't patch system, removed Jabber Client count too
* Removed obsolete freeware J2SSH from SNE, TCN, RegHub, POP, JGN
* Updated version number for HotDraw freeware to 5.2"
1.14,9/16/2010,sgl,"* Added MS Office to S/N NOSC-D and NOSC-B, SIAC NOSC-B, SDCM, NDCM NOSC-B
* Added iReasoning to NOSC-D, NOSC-B, SNE, TRT,  TCN, RegHub, POP, STT, JGN: (ALL *OEM)"
1.14,9/21/2010,sgl,"* Delete line entries for Crystal Reports from : JGN, SNE, and POP
* Removed (colored item RED) RTEX, no one seems to know what it's used for : NOSC-B, TRT, TCN, RegHub, POP, JGN
* Reset all background highlights to mark start of tracking changes.
* Changed the jre from 1.6.0_17 to 1.6.0_21 across the board for all CIs including OE
* Delete line entry Fail-To-Wire (FTW) From SNE, TCN, RegHub, POP, JGN) not used in Inc 2 per. Phil Nagy"
1.14,9/22/2010,sgl,"* Added HBSS host intrusion and virus protection to platforms: TCN, POP, SNE
* Added a count of 1 for Windows 2003 for DDT-VIS to plaforms: TCN, POP, SNE
* Added in new line for Win 2003 for POP, SNE, set QTY 1 for Win 2003 under DDT-VIS platform
* Entered missing version for Win 2003 for TCN : 8.11
* Added 3 new columns to TCN and RegHub for DDT-VIS to show that it's virtualized, also set QTY for using Win 2003 (Enterprise)
* Removed MS Office from NOSC-D SINM, NINM
* Added new line for ""NSM Client"" to NOSC-D and B for : SIAC, NIAC, XIAC"
1.15,9/23/2010,sgl,"* Removed QTY (set to 0 from 1) for MS Office from NOSC-D, B: *INM
* Added DCI API to all *OEM and Planning Laptops: NOSC-D,B, SNE,TRT,TCN,RegHub,POP,STT,JGN
* Added line entry to NOSC-D,B,SNE,TRT,TCN,RegHub,POP,STT,JGN for LUA.ORG and set the QTYs per platform
*Deleted PHSS from NOSC-B, POP,JGN (had 0 qty) by coloring red
* Deleted 2nd PHSS line item from RegHub by color red, changed PHSS name to PHSS Package
* Deleted two lines from JGN for PHSS, colored lines red"
1.16,9/24/2010,sgl,"* Removed (colored red) a duplicate line entry of Symantec AV Corp 10.*
* Added in the version number for the DCI API: NOSC-D,B,SNE,TRT,TCN,RegHub,POP,STT,JGN
* Added new line item to TCN,POP,SNE for DDT-VIS and set QTY to 1 on platforms that use it."
1.17,9/27/2010,sgl,"* Removed (colored red) NDDT, XDDT, columns from TCN and RegHub as only SDDT is used for DDT-VIS, and removed QTYs
* Added DDT-VIS Software Bundle TAB"
1.18,9/28/2010,sgl,"* Removed (colored red) the line entry SDK from the POP and the JGN, it is not part of the baseline and JDK/JRE is covered as part of OE"
1.19,9/30/2010,sgl,"* Added Banner Service to all Windows Platforms and Vx Windows Platforms, updated NOSC-B QTY from 1 to 3 for vx SDSC, NDSC, XDSC for McAfee Client Agent (Windows), McAfee Host Intrusion Prevention (Windows)
* Added Solarwinds Free Software TFTP Server to *IAC platforms
* Corrected counts for SDSC, NDSC, XDSC for McAfee Host Intrusion Prevention (Windows), 
* Removed (colored red) gawk and set QTYs to 0
* Added version to Banner Service line items 1.0.33"
1.20,10/3/2010,sgl,* Updated NOSC-B for item entry McAfee AntiVirus Client (for Windows Servers): only the name and version were updated
1.21,10/7/2010,sgl,* Added version number to VAAC(PEP) for POP and SNE: 6.3.1
1.22,10/11/2010,sgl,* Added new Tab called Maintenance Laptop
1.23,10/13/2010,sgl,"* Added new items to Maintenance Laptop tab
* Updated Adobe Reader version from 9.3.3 to 9.3.4"
1.24,10/19/2010,sgl,"* Updated items on Maintenance Laptop sheet : added missing version numbers (see items in yellow)
* Added missing Cisco items to NOSC-D, and NOSC-B : Cisco ASDM Launcher, Corrected version for Cisco CSM to 3.3.1SP1 from 3.2
* Added missing FOSS baseline items to NOSC-D and NOSC-B, SNE, TRT,TCN,RegHub,POP,STT,JGN"
1.25,10/20/2010,sgl,"* Updated the version number for the Tier 3 Download Utility set version to 1.1: NOSC-D,B,TCN,RegHub, Maintenance laptop
* Updated version number for DMD-PS from 5.1 to 5.0.2 - version was incorrectly stated"
1.26,10/21/2010,sgl,* Updated version number for FOSS products: JSON and Apache-Commons IO
1.27,10/22/2010,sgl,"* Changed version for AutoIt from 2.6.3 to 2.63, as it was a typo
* Removed QTY counts for NOSC-D, B: for WAN Manager platforms for newly added apache FOSS software"
1.28,10/22/2010,sgl,"* Corrected error for base install of TVE there is only 1 TVE base install per MDA
* Added Adobe Flash Player to NOSC-D, C : version 10.0.12.36"
1.29,10/22/2010,sgl,"* Combined cells on enclaves and platforms that use a single instance of vSphere Enterprise, collaped from 3 to 1 cell and corrected QTY from 3 to 1."
1.30,11/1/2010,sgl,"* Updated version for Adobe Flash Player to 10.1
* Added QTY 1 for Pragma Fortress SSH Ent to XIAC for NOSC-B 
* Removed all instances (colored red) of ESXi Hypervisor
* Updated version of Lua to 5.1.4
* Updated version of Retina to 5.11.10
* Added new item to NOSC-D,B: Cisco CSM v1.5(30)"
1.31,11/1/2010,sgl,"*Deleted all red line entries in this version, part of clean up effort"
1.32,11/2/2010,lc/sgl,"* updated Maintenance laptop TAB to single platform (allocated to unit not Cis, and deleted lua/windows scripts.
* Changed all instances where TVE is located from ""D"" to ""V"" since we buy this from our IAD division
* Redlined the MDA TVE entry from the RegHub as there is no MDA at the RegHub
* Removed the QTYs on NOSC-D  for SNMC, and NNMC of OpenSSH since Pragma Fortress SSH  is used instead"
1.33,11/8/2010,sgl,"* Added ""User Indicator Light"" and version (same as NM version) for: SIPR POP/SNE MDA and SIPR/NIPR TCN MDA
* Added comments to OE Jboss line items explaining how each is listed as a subitem under RedHat SKU numbers"
1.34,11/10/2010,sgl,* Added QTY of 1 for *VML for NOSC-D and B
1.35,11/11/2010,sgl,"* Changed name of XSIM to XUTM on NOSC-D and B
* Changed the name of Netscreen Security Manager to Network & Security Manager for NOSC-D and B"
1.36,11/15/2010,sgl,"* Removed the Oracle QTYs on NOSC-D and NOSC-B for platforms SSPM and SKMC, these platforms will be reconfigured to use MySQL which is currently listed on the OE tab"
1.37,12/2/2010,sgl,* Updated Adobe Reader from version 9.3.4 to version 9.4
1.38,12/6/2010,sgl,"* Updated OE tab entries to match PR6.5 B11 list from LM
* Updated VA Responder from 4.10 to 4.11
* Updated SolarWinds Traffic Analyzer from 3.6 to 3.7
* Updated Adobe Reader 9.4.0 to 9.4.1
* Updated SNMPc Online from build# 39 to Build#39b
* Updated SNMPc version from 7.2.4 to 7.2.4 a1
* Updated the (JRE)JDK version from 1.6.0_21 to 1.6.0_22 
* Updated CAC Middleware from 6.1 to 6.2
* Updated HCI L3 Modem software from 5.1.2.0 to 5.1.7.45
* Updated QED from 5.x to 5.6"
1.39,12/17/2010,dt,* Added the WinSCP 4.2.7 to the maintenance laptop
1.40,1/10/2011,dt,"* Updated Desktop Validator to version 4.10
* Split the JDK and JRE into two separate lines.  (Only those systems using OE require JDK)  
* Added the name Actividentity ActiveClient to CAC Middleware line    
* Changed the version of SNMPc online to 2009 
* Updated the OE Software Bundle from 6.5 to PR 6.5 B11     
* Changed SolarWinds Engineers Edition to SolarWinds Engineer's Toolset"
1.41,1/13/2011,dt,"* Updated the OE tab with JDOM 1.0beta8-dev.
* Updated the BCM (DDT-VIS) image. 
* Updated MS Office version 12.0 to 2007 sp2   
* Removed the out dated column A on the NOSC-D  tab 
* Added a row for Symantec Antivirus 10.1.9 since it still resides on Windows 2003 platforms.    
* Removed the CSM Pro-500 quantities on the NOSC-D & B in the IACs and added to NUTM & SUTM as a result of emails on 1/13/11"
1.42,1/19/2011,dt,* Updated the WMware version numbers
1.43,1/24/2011,dt,"* Updated the maintenance laptop  tab on the BOM to reflect the missing OS and software.   
* Updated Symantec Ghost Enterprise  11 to Ghost Solution Suite 2.5  
* Added specific build numbers for the vSphere sw. Corrected an error with the vSphere Enterprise name from last version.   
* Updated the Solarwinds sw in the NOSC-B,removing Cirrus ENT DL 500 and replacing with Network Config. Mgr.  
* Removed the license from the XHSM on the NOSC-B & D for the Vshpere sw.  
* Updated the license quantities for the Cisco sw on the NOSC-B for the UTM and IAC platforms. 
* Updated the name McAfee AntiVirus Client to VirusScan Enterprise. 
* Updated the Juniper NSM sw ver. #  NOSC-B & D,  the IAC platform license quantities on the NOSC-D, and the name on the NOSC-B."
1.44,1/31/2011,dt,"* Updated the NOSC-D & B the NSM client has 3 IAC licenses and the NSM  has 1 license.  
* Updated the version of the the NSM to 2010.4, decision was made to remove the build version.    
* Added the missing version num. to SecNet 54 Device Mgt Utility.  
* Added MS SQL Server on the SSPM and SKMC laptops "
1.45,3/24/2011,dt,"* Removed the all MDA enclaves at the RegHub.
 * Updated the names and counts for the VMware products:  
   -Removed the 3 licenses for the Enterprise product on the DDT platform on Reghub.  
   -To the TRT image  add a license for the Power CLI. 
   -To the TCN image added 3 more licenses for the Power CLI to the active directory platforms. 
   -To the JGN we added 2 Power CLI licenses for the NDM.   
* Updated the AGM windows 2003 version on the RegHub   
* Added the missing AGM windows 2008 version on multiple CIs  (SNE, RegHub, TCN, JGN); added the missing version number for the DDT-VIS; added the auto-shudown script for NDMs  

* Updated the OE software bundle throughout to version PR6.5B14
* Removed DDT-VIS from the RegHub
* LUA sw on the reghub, the total was incorrrect. 
* Removed the secnet 54 from the RHN. 
* Removed AGM Windows 2003 Enterprise version on the RHN. 
* Updated the TCN by adding the Windows 2003 (Standard) version and moving the NDM licenses to it. 
* Added  (Enterprise) to the POP windows 2003 server 
*1Q11 Updated the JRE to 1.6.0_24, Updated Adobe Reade  X 10.0.1 throughout the CIs 
*Updated Notepad  & Wireshark & HCI on the maint. laptop.  Added SOTM sw to the maint. laptop.  Corrected the Adobe vendor on Maint.  
* Updated Common Launch Screen  
* Removed the RxTx from the TRT XNDM image (email 1/4/11) 
* MS SQL Server is standard (email 1/26/11)   
*Updated the headers to remove DDT from enclave's other than SIPR 
* Updated CSM sw to 4.0.1; updated the Spectrum XT ver. to be consistent; updated the version of the Tactical Media Terminal Softphone; updated the Solarwinds Engineer's Toolset in the NOSC for naming consistency; updates for Flash & antivirus on JGN for NDM image. (3/2)
* Remove DDT from STT. Update ver. of Linux on POP. Update the QED ver. Update Solarwinds ver. on Reghub (email 2/8/11)  
* Remove DMD-PS from Maint. (2/16)  
* Updated the NOSC-B Visio ver. 
*Removed Spectrum XT from pop & sne 
* Updated the Gem X version   
* Updated the ver. of Spectrum XXI   
* Updated the GPS config Util. ver. 
*Added Struts for NM  * Updated the ver. of Flash    *Added Cisco Configuration Prof. to IAC (3/15)                                                                                                                                                                 * Added the Unity Web player to MDAs & NDMs/ PC-sim to NNDM TCN only                                                                                           *Updated the versions of Node Management   (3/21)   *Added WinZIP to the images the sw currently resides on.                                   *added the VMware Virtual Disk Development Kit (3/17) 
*Updated Aces sw to ver. 3.0                                                                                                                                                                                                                                                                             "
1.46,4/25/2011,dt,"* Updgraded McAfee sw on windows; the host intrusion and client agent sw.                                                                                                                                                                               * Added Softphone(SMDA2) to the TVE  on the POP, SNE, & TCN  & changed the ver. of the softphone (4/18, 4/25)                                                                                                                                                                 * Sorted all sheets by vendor then product 
* VMWare VSphere SDK for PERL for MDAs and NDMs, this software is freeware  (4/18)                                                                                                                                                                                                                                                                                                                                                "
1.47,9/20/2011,dt,"* Updated the Softphone (SMDA2) to new version (5/26) & (8/24) 
* Added Symantec Antivirus to the Maint. laptop
* Sorted all sheets by vendor then product
* VMWare VSphere SDK for PERL for MDAs and NDMs, this software is freeware  (4/18) 
* JDK is needed on the SMDA & NMDA for the user indicator light 
* Upgraded to JDK 25 and JRE 25 on all images 
* On JGN moved  AVG to tier 2  
* On JGN combined the QED/PEP 
* POP/SNE added additional Ghost Solution Suite licenses for the DCE (4/6)  
* Added (AGM) to Adobe Flash Player 
* Upgraded Node Management 
* Incorrectly had TKMS sw on the SKMC on the NOSCs 
* Upgraded SOTM & HCI on the maint. laptop (5/6) 
* IAC required Adobe Flash Player for CSM. (7/13) 
* Not accounting for dual core on the DSC for MS SQL counts -NOSCs (7/14)  
* Upgraded the version of Wireshark on the Maint. laptop (8/1)    
* Symantec Endpoint rolled out to replace Symantec Antivirus Corp. Edition.
* Upgraded the OE sw Bundle
* Updated to Auto-It 3.3.6.1 
* Adobe Flash activex only is on the MDA VMs 
* QED 2Q11 SVD identifies JDK 22  
* Added HBSS Bundles    
* Added VM Ware VM Workstation  
* Fixed an error SPM/NOSC-B/Aces count 
* Reported JRE and Adobe Reader upgraded on HSM by JF"
1.48 (3Q11), 1/19/2011,dt,"* JGN removed JRE 24 & JDK 25, previous BOM ver. indicated 0 quantities  
* Removed SMDA2; Changed the MDA VMs from vista to windows2003; Added the softphone to the SMDA  
* Updated JRE & JDK 26 as indicated in 3Q11 release notes.by running the Inc 2 security module or images that were reported as being manually updated. 
* PC-SIM  catogorized as subk, updated unity web player ver.
* Removed the cmx from the tcn and reg hub (11/4) 
* Updated McAfee Agent ver. 4.5.0.1499 to 4.5.0.1810 
* Updated Redhat to 5.7 
* OE 6.5 build 19  
* winzip on the MDA VMs 
* NMS version upgraded 
* PHSS version upgraded 
* Updated the common ui   
* Remove the DLP agent on MDAs since the OS moved to win 2003 
* Updated the TVE platform version  
* Adding 3Q11 McAfee updates from email 1/13/12"
1.49 (4Q11),3/20/2012,dt,"* To work with NMS NDM and MDAs needed to revert back to JRE 25.  MDA also needs JDK 25.
* Updated JREs as indicated in image release notes 
* reported HSM was using JDK not JRE 
* Updated the version of SOTM and HCI on Maint.
* SAASM was incorrectly indicated on NMDA 
* Cleaning up Struts, still waiting on answers to cleanup 
* Updating the OE build to PR6.5b23 & b24 
* Added Firefox (F) 
* Zebra all QED deployments (3/1/12) 
* PHSS upgraded 
* Process of moving MDA to windows 2003 we went to Office 2007 SP3 
* GEM X 3.5.5   
* updated NMS version  
* updated userindicatorlight version  
*Missing TCN Perl version   
* cisco configuration pro updated  
* Adobe Flash and Reader updates  
* Removed Adobe Flash on the Bom from the MDAs, app is not on VMs 
* SNE DSC did not indicate reader
* Fixed the QED/PEP on the POP, they where backwards on previous BOM versions.
* Removed XOEM on DCE having common ui  
* Updated HBSS (1/19/12)
* Modified JRE Linux version from GFS to F   (3/6/12)
* Changed vendor for JRE & JDK  
* Modified product category based on input from J. Cogdell (3/8/12)
* Changed vender to Fluke for Spectrum XT  on Maint. 
* Adding mission command apps (3/9/12) 
* Removed DDT from DCE  
* Added pcupdater to maintenance 
* HSM upgraded to adobe Reader 10.1.1 "
1.50a(1Q12),8/1/2012,dt,"* Changed names for BOM consistency - vCenter Server for vSphere, ActivIDentiy CAC (middleware),vSpher part numbers to be consistent.   
* vShpere SDK for Perl was missing from POP  
* Updated JRE 
* Putty .62, images spm & dsc didn't constently have an indication as having putty, fixed errors.  
* Upgraded Firefox  
* upgraded office to 2007SP3 
* Upgraded Adobe reader & flash from sec mod   
* Upgraded retina  
*upgraded SNMPc from sec mod.  
* Upgraded wireshark  
* Error missing Office on HDM on NOSC-B  
*NOSC-B VSE has been changed to server and the VSE component within HBSS bundles to client. 
* Fixed NDMs remove from the BOM the Spectrum, tier 3, DMD-PS, secnet 54, & tunable antenna from the NDMs with the exception of the TCN Only SNDM, added GPS for Third option NDM (app not needed everywhere, but including outwieghs cost of maintaining 4th image.)
* Upgraded SNMPc 7.2.8a1 
* Missing putty nosc-b vml *missing JRE dsc on JGN 
* Error removed Office from DSC  
* Reduced the number of licenses for 2008 for the DSC 6/27(REVISIT). 
* Upgraded to linux 5.8 
* Added a new CUI onto the MDAs  
* Upgraded the DCI API on the BOM (linux/windows)  
* Updgraded  Linux to 5.8 
* Fixed a typo on the pop/sne, OEM as a column header  (7/11).
* DCI API two ver. Linux & Windows 
* QED updgraded  * Ventrilo & TightVNC license indication was missing on TCN   
* Added Product Category G for CPOF & TIGR  
* Error removed Adobe Flash from MDAs on Pop 
* Error Firefox missing from XMDA tcn   
* Error VAAC (PEP) missing from JGN (8/1) 
* Error Winzip license indicated on XUTM change to XHSM 
*TCN tightvnc & ventrilo versions reversed."
1.51e(2Q12),9/19/2012,dt,"*  Incorporated printing settings by Paul C., OE sw bundle changes made by Lee, and HBSS updates from Kim.                                                                                                                                 * Sw updgrades; Adobe Reader, Flash, Putty, SQL 2005 SP4, JRE, JDK, NMS, CUI, FireFox, Unity Web Player, Retina, commongoaltransformation, Visio, QED 
* Sw upgrades Maint. only: wireshark, vsphere. 
*Adobe Reader installed on web
* Updated ver. of TKMS 
* Fixed Oracle license errors, Fixed Struts license errors"
1.52c_(3Q12),11/6/2012,dt,"* Fixed Oracle License errors w/NOSC-B 
*Sw upgrades; Adobe Reader, Flash, JRE 
* Changed vendor from Cidadel to McAfee, and from eEye Digital to BeyondTrust 
* Unity web player version was not consistent 
*Sw upgrades; banner, CUI, NMS, CSM 
* OpenSSH removed from VML & DSC
*Changed the ver. of activiClient from 6.2x86 to 6.2.
* XUTM  error had banner indicated on it. 
*Winzip missing for DSC on pop/sne  (DSC/VML 10/31) 
* Oracle db Vista error on SPM/KMC   
* Seperated out the Netflow traffic Analyzer from the Orion NPM(10/25) "
1.52e_(3Q12),11/19/2012,dt,"* Added SFSC to the NOSCs.
* XFSC was missing ghost license indication in RGN    
* JGN Ghost was not accounted for in FSC columns"
1.53e_(4Q12),1/22/2013,dt,"* Inc 2 Security module updates; HBSS, JRE ver. 37, SNMPc, Adobe Flash 
* Removed ESXI components Power CLI & host utility. (12/4) 
* Added new versions of ESXI (12/8)      
* BOM error, reduced the number of ms SQL Server Licenses on the WNM laptops to all have only one on the NOSC-B  
* Updated the OE ver. & necessary JDK/JRE updates & sw from the LM SVD 
* HSM has no putty installed (12/10)     
* Removed Linux antivirus from NOSC-D, included in Linux bundle.  
* NSM versions updated  
* PHSS version upgraded   
* Inconsistencies with JDK licenses on BOM, a JDK  constains a JRE 
*Auto Shutdown script was renamed to Node shutdown 
* Cisco Call manager updated
*DDT setup added   
* CPoF & TIGR updated 
*added UserIndicatorLight to the XMDA for the new DTT 
* Changed OEM to OEW on the BOM/NOSCs uses Oracle OEM uses MySQL (12/13)  
* Web is now same image as DSC (11/29)
*Jabber from AGM 
* Jabber was missing from the RegHub 
*Counts for winzip, unity web, sdk perl were incorrect on RegHub 
*Updated HBSS bundles/remove HBSS windows laptop bundle(12/18)
*updated INM to JRE 32 WIN08556 
*Updated CUI/NMS versions 
*fixed node shutdown errors on sne,tcn,reghub 
*QED jdk .35    
*Removed Solaris 10, delivered with Radiant Mercury"
1.53f_(4Q12),1/23/2013,dt,* Java should be GFS
1.53g_(4Q12),2/11/2013,dt,"* fixed Solarwinds on the NOSC-B
*Added OE sw to TKMS on NOSC-B & D"
1.54a (4Q12+),2/18/2013,dt,"*HCI ver. 5.1.7.60 maint.
*Confirmed Deskttop Validator Standard on Maint./updated ver. to two places. 
*Error with previous CPOF version.  
*Installed WinZip on the wnm laptop  
*updated the NMS bundles  
*Updated accredited TVE"
1.55a (1Q13) ,4/25/2013,, - Fix NFA from 2008 to 2003
1.55b (1Q13) ,6/6/2013,dt,"* DSC does not have office
*Ventrilo is not in the sne. 
* Pep does not have Java
*Linux on DCE associated with QED not PEP 
* Updated sw Adobe reader, Flash, firefox, nms bundles, McAfee email & web, redhat, Java, OE, Hypervisor, retina, GEM x, TKMS,PHSS 
*JRE on XUTM  
*Office is not on the DSC 
*swingworker not on oem on trt(4/2013)
* Winzip 10.1 error
*HCI ver. 5.1.7. 58 1Q13 p1"
1.56 (2Q13),7/19/2013,dmp,"*Updated Adobe reader, Flash, Open SSH, Oracle, WinMerge, BeyondTrust, GEM X PC"
1.56a (2Q13),7/29/2013,dt,"*Added the Flat BOM version 2.13.4.5 as the first tab.
*The part numbers are hidden.
*Added a UID that maps to the Inc 2 Prime BOM, hidden column F in the master software List tab.
*XUTM has a JRE installed from NSM sw(5/23/13)
*ver. of HCI updated 
*OpenSSH ver changed for some systems, also determined to be removed from others. 
*Removed vsphere client 4.0 from vml
*remove Solarwinds ENT Unlimited V2 DLX from NOSCB 
*fixed winzip ver. on the TCN 
*OpenSSH had been removed from MDAs several quarters ago.
*A review of the HBSS sw showed discrepancies 
*Product Category is only displayed on the master software list tab"
1.56b (2Q13),7/23/2013,dt,Added a tab containing the Master Software List  form PDSS SW Flat BOM v2.13.02.05
2.13.3.0 (3Q13),7/29/2013,dt,"*Added vNOSC information from Paul (7/2)   All VMware products get updated to the ESXi 5.1 Update 1 versions
VMware ESXi 5.1 Update 1
VMware vSphere Client
VMware CLI (last quarter not on Inc 2 images)
VMware vCenter Server      * orion dropped from network  * NSM Client Freeware (Lee 7/30). * Radiant Mercury on  Inc 2 is ver. 5.0.1 with patches applied for each fielding appending date naming to the version that is the reason for 5.X.   * vSphere client Freeware (Lee 7/30)    *HBSS windows bundle as part of the HBSS server bundle was missing from the past releases   *Remove Likewise Open from the OE bundle(7/31)
NotesTIM: Added VM CLient row 5.1, CLi "
 2.13.3.1 (3Q13 Removed 4Q),8/27/2013,tf,"Updating CI tabs to include calculations from the Image Master List/Flat BOM.  Old format CI BOMs are in red tabs
 - Leaving the Coalition MDA as an image, but not included anywhere
 - W2K8 images with JRE 1.7.0_25 changed to JDK 1.6.0_45 (mistake)
 - Added XSLT 2.0 to KMA (mistake)
 - Added NetStatController 65 for CX enclave
 - Ghost was missing on PEP
 - WinZIP, JRE missing on DSC (solo)
 - Removed TIGR from AVG (mistake)
 - Added new Category View for filtering on Category (Developed, Freeware, GFS, Subcontract, Vendor) and showing totals for these applications on each CI
 - Added new button to update CI pages when an application is added to the Image Master List
 - Data Protection now added to Image Master List, Category View and all CI pages.  Editing is only allowed in the Image Count section of the CI pages, the Application Count section of the Image Master list page and in the Application attributes (Vendor, Product, Version, etc.).  Also, applications may be added to the Image Master List; be sure to click the ""Refresh Application Lists"" button after adding the application
 - Updated JBOSS items (EAS, Messaging, Portal, Rules)  to '4' for OEM and OEX 
 - Updated MS SQL to 2008, per Core licensing, 2-core pack (4 core minimum)
 - Updated VML to vSphere Client 5.1 (Paul C.)
 - Updated DSC, SCM, DBC to vSphere Enterprise 5.1 (Paul C.)
 - Removed VMWare Workstation from XUTM (Paul C.)
 - Removed MRI VM from Lot-2 NOSC (Paul C.)
 - Seperated DSC/DBC/SCM into three images
Required changes to Lot 2 images on Master List for 4Q13/Lot 3 updates
 - Need to add Citrix Online Plugin and Offline Plugin/Receiver to ENG
 - Need to add Profile Manager to WNMA, ENG, IAC, SPM, KMC
 - Need to add vSphere Client to ENG
"
2.13.3.2 (3Q13 removed 4Q),8/29/2013,tf," - Added Lot 3 TCN
 - Using ESX image to count vSphere to manage the OEM/TIGR/DSC, CMX/CPOF, and QED/PEP on the SNE and PoP; also managing VMs at TCN and JGN
 - Removed Ghost from Virtualized Servers DSC, HSM, UTM, NFA, OEW, WNM Server
 - Updated Oracle DB Linux to indicate Enterprise version
 - Added VMTools 9.0.5 to OEW, WNM, OEM, OEX, DSC, DBC, SCM, HSM, NFA
 - Added VMTools 7.8.7 to MDAs
 - PENDING CHANGES FOR ORACLE LINUX DATABASE"
2.13.3.3 (3Q13 removed 4Q),9/4/2013,tf, - Adding Lot 3 Images
2.13.3.5 (3Q13),9/21/2013,DT,"* Updating 3Q13 versions; NMS bundles, Flash, JRE, Firefox
* VM Tools added to images 
* VM tools 7.8.7 has been on the MDAs,tools is now being added to the BOM 
* NDM now needs JDK not just JRE for OE lite, add OE lite to MDA and NDMs MDA had Ant. Still outstanding questions to LM regarding OE lite products.                                                                                                                                        *                                               * vsphere client 5.1.                                                                                                                                                                                 * XNDM should only be on the SAASM, from N do we uninstall SAASM                                                                                                              * NSM updated.                                                                                                                                                                                                   * Changed Oracle to standard (9/9/13) *Mcafee Asset Publishing should not have been removed.                                                                 * Updated CS Mgr licensing                                                                                                                                                                   * Add OE lite (9/11)     *netstatconnect was missed on xmda & nmda on previous releases                                                                                                                                                                                 "
2.13.3.6 (3Q13),9/23/2013,DT,"* VMWare CLI 5.1 was patched onto NDMs, MDAs                                                                                                                                                                      "
2.13.3.7 (3Q13),11/3/2013,DT,*vNOSC cleanup  * Solarwinds products not properly updated (10/25)                                                                                                                                                        
2.13.3.8 (3Q13),11/8/2013,DT,"* Solarwind versions had been updated to 4Q baseline, reverted back to 3Q (11/6)                                                                                             * Removed 4Q baseline hidden rows
* Updated AD counts based on comments (11/6)  
*Maint has had activeclient"
2.13.3.10 (3Q13),11/15/2013,DT,"* Matches to flat bom 2.13.3.10  
*Added crystal reports for TKMS (11/14 Ian)                  "
